Nini,23, 
Jonas,36, 
Jonas,30, 
Jonas,    4.39, 
Jonas,   32.99, 
Ninaa,   23.29, 
Jonas,    4.82, 
Jonas,   49.85, 
Jonas,   26.82, 
Hans,   40.46, 
Toby,   25.30, 
Jonas,   30.47, 
Heitho,   20.86, 
